country,countrycode,gold,silver,bronze,total,aquaticsgold,aquaticssilver,aquaticsbronze,artswimgold,artswimsilver,artswimbronze,divinggold,divingsilver,divingbronze,swimminggold,swimmingsilver,swimmingbronze,pologold,polosilver,polobronze,archerygold,archerysilver,archerybronze,athleticsgold,athleticssilver,athleticsbronze,fieldgold,fieldsilver,fieldbronze,trackgold,tracksilver,trackbronze,badmintongold,badmintonsilver,badmintonbronze,baseballgold,baseballsilver,baseballbronze,softballgold,softballsilver,softballbronze,basketballgold,basketballsilver,basketballbronze,threegold,threesilver,threebronze,boxinggold,boxingsilver,boxingbronze,canoeinggold,canoeingsilver,canoeingbronze,slalomgold,slalomsilver,slalombronze,sprintgold,sprintsilver,sprintbronze,cyclinggold,cyclingsilver,cyclingbronze,bmxfreegold,bmxfreesilver,bmxfreebronze,bmxracinggold,bmxracingsilver,bmxracingbronze,mountbikegold,mountbikesilver,mountbikebronze,roadcyclinggold,roadcyclingsilver,roadcyclingbronze,trackcyclinggold,trackcyclingsilver,trackcyclingbronze,equestriangold,equestriansilver,equestrianbronze,dressagegold,dressagesilver,dressagebronze,eventinggold,eventingsilver,eventingbronze,jumpinggold,jumpingsilver,jumpingbronze,fencinggold,fencingsilver,fencingbronze,hockeygold,hockeysilver,hockeybronze
France,FR,6.1,6.8,7.2,20.1,0.7,1,1.1,0,0,0,0,0.1,0.1,0.7,0.9,1,0,0,0,0,0,0,0.4,0.6,0.7,0.2,0.3,0.3,0.2,0.3,0.4,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.9,1.1,1.1,0.1,0.2,0.2,0.8,0.9,0.9,1.9,2.1,2,0,0,0,0.6,0.6,0.5,0.5,0.4,0.4,0.1,0.2,0.2,0.7,0.9,0.9,0.1,0.1,0.2,0,0,0,0.1,0.1,0.2,0,0,0,1.6,1.6,1.2,0,0,0
Jamaica,JM,4,4,3.8,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.9,3.8,1.1,1.1,1,2.9,2.8,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,KE,3.4,3.3,3.3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.3,3.3,0,0,0,3.4,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,NZ,2.6,2.4,2.3,7.3,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.4,0.3,0.2,0.4,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,1,0.8,0.7,0.1,0.1,0.2,0.9,0.7,0.5,0.9,0.8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.8,0.9,0.1,0.1,0.2,0,0,0,0.1,0.1,0.2,0,0,0,0,0,0,0.1,0.1,0.1
Poland,PL,3.8,3.8,4.1,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.8,1.7,1.1,1.2,1.1,0.5,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,1.2,0,0.1,0.1,1.2,1.2,1.1,0.7,0.9,1.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0
Sweden,SE,2.6,2.3,2.1,7,0.9,0.8,0.8,0,0,0,0,0,0,0.9,0.8,0.8,0,0,0,0,0,0,1,0.8,0.6,0.8,0.6,0.4,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6,0.6,0.3,0.3,0.3,0,0,0,0.2,0.3,0.3,0,0,0,0,0,0
Uzbekistan,UZ,1.6,1.3,1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.3,0.9,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,HU,3.8,4,4.1,11.9,2.3,2.4,2.4,0,0,0,0,0,0,2.1,2.1,2,0.2,0.3,0.4,0,0,0,0.2,0.2,0.3,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.6,0.7,0.7,0,0,0,0.6,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.8,0.7,0,0,0
Switzerland,CH,2.8,2.9,2.8,8.5,0.4,0.4,0.4,0,0,0,0,0,0,0.4,0.4,0.4,0,0,0,0,0,0,0.4,0.5,0.5,0,0,0,0.4,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,1.1,0,0,0,0.1,0.2,0.2,0.6,0.5,0.4,0.3,0.4,0.4,0,0.1,0.1,0.7,0.7,0.5,0,0,0,0,0,0,0.7,0.7,0.5,0.3,0.3,0.2,0,0,0
Ethiopia,ET,2.7,2.8,2.6,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,2.8,2.7,0,0,0,2.7,2.8,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
